1504076400,63871251
1504162800,7879875
1504249200,8201943
1504335600,9954346
1504422000,9940606
1504508400,10065859
1504594800,10331774
1504681200,11525245
1504767600,12201566
1504854000,12356482
1504940400,16723674
1505026800,13514938
1505113200,13903255
1505199600,14155521
1505286000,11386021
1505372400,10756842
1505458800,11869680
1505545200,12643882
1505631600,12042150
1505718000,11109418
1505804400,8975511
1505890800,9295745
1505977200,10014063
1506063600,11808580
1506150000,10557400
1506236400,10238354
1506322800,9334895
1506409200,7891178
1506495600,8228735
1506582000,8343118
1506668400,8868030
1506754800,10918133
1506841200,9981884
1506927600,11132022
1507014000,8615068
1507100400,7902235
1507186800,8679278
1507273200,8389334
1507359600,7589763
1507446000,8741427
1507532400,7986384
1507618800,9465182
1507705200,9185856
1507791600,8868879
1507878000,7470381
1507964400,8355966
1508050800,7944055
1508137200,8932626
1508223600,10420985
1508310000,9391961
1508396400,9169298
1508482800,8441074
1508569200,8875739
1508655600,9243241
1508742000,8434018
1508828400,9474662
1508914800,8777153
1509001200,11886897
1509087600,11043403
1509174000,12108744
1509260400,12617423
1509346800,11724070
1509433200,11260648
1509519600,10503711
1509606000,11252407
1509692400,9816832
1509778800,10257980
1509865200,8745811
1509955200,10419285
1510041600,10363847
1510128000,9717495
1510214400,9926434
1510300800,10696013
1510387200,10152454
1510473600,10399998
1510560000,10469891
1510646400,10451605
1510732800,9676915
1510819200,8885295
1510905600,9652046
1510992000,8911628
1511078400,8462299
1511164800,8614720
1511251200,8754166
1511337600,8276273
1511424000,8498128
1511510400,7772536
