6,74,8622947
7,80,8741154
1,90,9063972
2,82,9899975
3,88,8324665
4,95,9383603
5,93,8704526
6,80,8734879
7,87,8686280
1,93,8858627
2,98,7698767
3,90,10011987
4,96,11352368
5,84,11008820
6,73,10322372
7,91,11100251
1,83,12730068
2,93,11553092
3,88,11223840
4,88,9905034
5,92,10808104
6,83,10440668
7,102,10441935
1,83,12961777
2,89,10372626
3,85,8940465
4,89,11105987
5,82,9728325
6,70,10989748
7,84,11634607
1,89,11233780
2,86,12509344
3,87,9897550
4,92,10455045
5,84,10657226
6,73,9547478
7,82,9469141
1,88,9211736
2,95,10382678
3,97,10745533
4,103,9508862
5,95,8598692
6,64,10454289
7,89,9501770
1,87,10429847
2,90,11934115
3,91,10926620
4,88,13337473
5,74,12494423
6,61,11417036
7,82,10519603
1,89,11591171
2,99,12521805
3,98,13007966
4,102,13188390
5,93,12145458
6,76,10450604
7,68,10670730
1,84,11505410
2,89,11915815
3,93,12134997
4,79,11618962
5,80,12079048
6,71,12697284
7,78,12680451
1,89,15242108
2,90,14625731
3,82,12499722
4,83,13738668
5,68,14801750
6,72,14527814
7,85,13790766
1,73,15250416
2,76,13725386
3,70,12455387
4,86,11309971
5,63,11094009
6,67,9725389
7,70,9627500
1,82,10143857
2,80,10567318
3,81,10317996
4,84,11241115
5,71,11745929
6,77,10322757
7,78,8655574
1,74,9321426
2,83,11907193
3,72,14705229
4,78,10763490
5,66,10522846
6,77,9575428
7,78,9708274
1,71,10574628
2,66,12320833
3,76,11687222
4,67,11022629
5,61,10368105
6,70,9922517
7,72,10388562
1,79,9646466
2,78,9143190
3,74,8359429
4,70,8449590
5,75,7661107
6,66,8242725
7,86,9254495
1,89,10667663
2,79,9795429
3,85,8975079
4,89,8538411
5,68,8529152
6,64,8025010
7,78,8234844
1,83,8427326
2,84,8531230
3,74,7528524
4,66,7344510
5,68,7226934
6,63,7409710
7,65,7189586
1,59,7807852
2,65,8841093
3,72,7413674
4,79,6643237
5,58,7883447
6,58,7480000
7,67,7942285
1,68,7106077
2,52,7331398
3,63,5833055
4,74,6332500
5,55,7202550
6,55,6889139
7,65,6270795
1,59,6626983
2,72,7222520
3,68,6824810
4,66,7179764
5,62,7008552
6,59,6434905
7,78,7184696
1,62,7579445
2,52,6590154
3,60,7305813
4,72,7680463
5,63,8385452
6,51,7939475
7,64,7137518
1,62,7736883
2,59,184585314
3,75,63871251
4,65,7879875
5,79,8201943
6,80,9954346
7,70,9940606
1,75,10065859
2,77,10331774
3,68,11525245
4,68,12201566
5,73,12356482
6,61,16723674
7,76,13514938
1,69,13903255
2,69,14155521
3,92,11386021
4,96,10756842
5,92,11869680
6,98,12643882
7,82,12042150
1,68,11109418
2,68,8975511
3,91,9295745
4,104,10014063
5,80,11808580
6,103,10557400
7,112,10238354
1,88,9334895
2,91,7891178
3,107,8228735
4,113,8343118
5,85,8868030
6,86,10918133
7,91,9981884
1,61,11132022
2,64,8615068
3,87,7902235
4,74,8679278
5,63,8389334
6,75,7589763
7,67,8741427
1,95,7986384
2,77,9465182
3,110,9185856
4,50,8868879
5,97,7470381
6,72,8355966
7,75,7944055
1,75,8932626
2,73,10420985
3,55,9391961
4,56,9169298
5,61,8441074
6,85,8875739
7,77,9243241
1,61,8434018
2,65,9474662
3,77,8777153
4,66,11886897
5,69,11043403
6,58,12108744
7,75,12617423
1,57,11724070
2,73,11260648
3,73,10503711
4,82,11252407
5,79,9816832
6,61,10257980
7,82,8745811
1,90,10419285
2,70,10363847
3,66,9717495
4,81,9926434
5,86,10696013
6,69,10152454
7,69,10399998
1,79,10469891
2,68,10451605
3,78,9676915
4,86,8885295
5,63,9652046
6,58,8911628
7,59,8462299
1,76,8614720
2,77,8754166
3,74,8276273
4,66,8498128
