#Mon,#Tue,#Wed,#Tur,#Fri,#Sat,#Sun,#post,#visitors
0,0,0,0,1,0,0,89,10515804
0,0,0,0,0,1,0,30,8669738
0,0,0,0,0,0,1,21,4975473
1,0,0,0,0,0,0,63,6455926
0,1,0,0,0,0,0,67,11414751
0,0,1,0,0,0,0,66,13151457
0,0,0,1,0,0,0,71,13053839
0,0,0,0,1,0,0,76,11616264
0,0,0,0,0,1,0,61,10618105
0,0,0,0,0,0,1,36,8828433
1,0,0,0,0,0,0,74,7630383
0,1,0,0,0,0,0,85,11014781
0,0,1,0,0,0,0,93,9169376
0,0,0,1,0,0,0,102,8723755
0,0,0,0,1,0,0,92,9241292
0,0,0,0,0,1,0,75,9411613
0,0,0,0,0,0,1,74,9212795
1,0,0,0,0,0,0,80,9199672
0,1,0,0,0,0,0,80,9344751
0,0,1,0,0,0,0,86,9815645
0,0,0,1,0,0,0,75,9217028
0,0,0,0,1,0,0,87,9257965
0,0,0,0,0,1,0,68,10281095
0,0,0,0,0,0,1,71,11218292
1,0,0,0,0,0,0,81,9239005
0,1,0,0,0,0,0,74,8465987
0,0,1,0,0,0,0,85,8236454
0,0,0,1,0,0,0,78,8082478
0,0,0,0,1,0,0,78,7376116
0,0,0,0,0,1,0,79,8266738
0,0,0,0,0,0,1,75,9739378
1,0,0,0,0,0,0,86,9627677
0,1,0,0,0,0,0,78,9304143
0,0,1,0,0,0,0,77,7473104
0,0,0,1,0,0,0,64,7449836
0,0,0,0,1,0,0,82,9230405
0,0,0,0,0,1,0,71,10234806
0,0,0,0,0,0,1,69,9379279
1,0,0,0,0,0,0,82,9146156
0,1,0,0,0,0,0,76,9054744
0,0,1,0,0,0,0,81,8048410
0,0,0,1,0,0,0,81,7718514
0,0,0,0,1,0,0,78,8838082
0,0,0,0,0,1,0,73,8709383
0,0,0,0,0,0,1,77,8888106
1,0,0,0,0,0,0,78,8790132
0,1,0,0,0,0,0,87,8087527
0,0,1,0,0,0,0,75,8002598
0,0,0,1,0,0,0,76,7972661
0,0,0,0,1,0,0,91,8297085
0,0,0,0,0,1,0,78,9277221
0,0,0,0,0,0,1,75,10281975
1,0,0,0,0,0,0,87,10632653
0,1,0,0,0,0,0,91,9974733
0,0,1,0,0,0,0,83,9676678
0,0,0,1,0,0,0,77,9768121
0,0,0,0,1,0,0,71,9829363
0,0,0,0,0,1,0,68,8210554
