2016-11-29T08:00:00,2,89,10528632
2016-11-30T08:00:00,3,86,9351148
2016-12-01T08:00:00,4,99,7721802
2016-12-02T08:00:00,5,88,8202112
2016-12-03T08:00:00,6,71,8835688
2016-12-04T08:00:00,7,79,8397890
2016-12-05T08:00:00,1,87,8782784
2016-12-06T08:00:00,2,86,10400879
2016-12-07T08:00:00,3,80,10968175
2016-12-08T08:00:00,4,82,10475707
2016-12-09T08:00:00,5,56,10504309
2016-12-10T08:00:00,6,65,10462953
2016-12-11T08:00:00,7,74,11432581
2016-12-12T08:00:00,1,91,10843468
2016-12-13T08:00:00,2,87,9700355
2016-12-14T08:00:00,3,88,10273071
2016-12-15T08:00:00,4,87,10915903
2016-12-16T08:00:00,5,71,11415897
2016-12-17T08:00:00,6,60,12062049
2016-12-18T08:00:00,7,73,11993443
2016-12-19T08:00:00,1,86,11644996
2016-12-20T08:00:00,2,77,12167732
2016-12-21T08:00:00,3,78,11563081
2016-12-22T08:00:00,4,93,11421150
2016-12-23T08:00:00,5,89,10515804
2016-12-24T08:00:00,6,30,8669738
2016-12-25T08:00:00,7,21,4975473
2016-12-26T08:00:00,1,63,6455926
2016-12-27T08:00:00,2,67,11414751
2016-12-28T08:00:00,3,66,13151457
2016-12-29T08:00:00,4,71,13053839
2016-12-30T08:00:00,5,76,11616264
2016-12-31T08:00:00,6,61,10618105
2017-01-01T08:00:00,7,36,8828433
2017-01-02T08:00:00,1,74,7630383
2017-01-03T08:00:00,2,85,11014781
2017-01-04T08:00:00,3,93,9169376
2017-01-05T08:00:00,4,102,8723755
2017-01-06T08:00:00,5,92,9241292
2017-01-07T08:00:00,6,75,9411613
2017-01-08T08:00:00,7,74,9212795
2017-01-09T08:00:00,1,80,9199672
2017-01-10T08:00:00,2,80,9344751
2017-01-11T08:00:00,3,86,9815645
2017-01-12T08:00:00,4,75,9217028
2017-01-13T08:00:00,5,87,9257965
2017-01-14T08:00:00,6,68,10281095
2017-01-15T08:00:00,7,71,11218292
2017-01-16T08:00:00,1,81,9239005
2017-01-17T08:00:00,2,74,8465987
2017-01-18T08:00:00,3,85,8236454
2017-01-19T08:00:00,4,78,8082478
2017-01-20T08:00:00,5,78,7376116
2017-01-21T08:00:00,6,79,8266738
2017-01-22T08:00:00,7,75,9739378
2017-01-23T08:00:00,1,86,9627677
2017-01-24T08:00:00,2,78,9304143
2017-01-25T08:00:00,3,77,7473104
2017-01-26T08:00:00,4,64,7449836
2017-01-27T08:00:00,5,82,9230405
2017-01-28T08:00:00,6,71,10234806
2017-01-29T08:00:00,7,69,9379279
2017-01-30T08:00:00,1,82,9146156
2017-01-31T08:00:00,2,76,9054744
2017-02-01T08:00:00,3,81,8048410
2017-02-02T08:00:00,4,81,7718514
2017-02-03T08:00:00,5,78,8838082
2017-02-04T08:00:00,6,73,8709383
2017-02-05T08:00:00,7,77,8888106
2017-02-06T08:00:00,1,78,8790132
2017-02-07T08:00:00,2,87,8087527
2017-02-08T08:00:00,3,75,8002598
2017-02-09T08:00:00,4,76,7972661
2017-02-10T08:00:00,5,91,8297085
2017-02-11T08:00:00,6,78,9277221
2017-02-12T08:00:00,7,75,10281975
